model,family,processing,n,completion_rate,semantic_accuracy,exact_accuracy,strict_accuracy,mean_input_tokens,mean_total_tokens,mean_thought_tokens,mean_provider_latency_seconds,median_provider_latency_seconds,stdev_provider_latency_seconds,provider_latency_cv,max_provider_latency_seconds,mean_wall_latency_seconds,errors
models/gemini-3.6-flash-video-understanding-eap,fine_motion,agentic,3,1.0,1.0,1.0,0.0,9639.333333333334,10925.0,1141.3333333333333,13.591692233329619,14.293084599994472,1.3037875423189886,0.09592532849749452,14.394641799997771,16.327248199998092,0
models/gemini-3.6-flash-video-understanding-eap,fine_motion,static,3,1.0,0.6,0.0,0.0,1208.0,6236.666666666667,4995.666666666667,34.243014633335406,36.121687500002736,8.645488474017155,0.25247451389986014,41.79469770000287,37.03027626666881,0
models/gemini-3.6-flash-video-understanding-eap,incomplete_action,agentic,3,1.0,1.0,1.0,1.0,5235.0,6338.666666666667,931.6666666666666,14.956171300000278,13.893446699999913,5.206249627648848,0.34810042779121897,20.611789399998088,17.63822870000149,0
models/gemini-3.6-flash-video-understanding-eap,incomplete_action,static,3,1.0,1.0,1.0,1.0,11897.0,12892.0,994.0,9.378138333333482,9.226688800001284,0.356345558734687,0.037997473066493266,9.785192900002585,12.109559099999993,0
models/gemini-3.6-flash-video-understanding-eap,reversible_state,agentic,6,1.0,1.0,1.0,0.5,18059.0,21044.5,2645.5,28.75267121666305,28.405040049998206,3.6249611213038007,0.12607389045658565,35.619156299995666,31.55941683333367,0
models/gemini-3.6-flash-video-understanding-eap,reversible_state,static,6,1.0,1.0,1.0,0.5,11914.0,13304.333333333334,1368.3333333333333,11.739419050001743,11.051848949999112,2.482991795061233,0.21150891577218758,16.214754300002824,14.64414836666765,0
models/gemini-3.6-flash-video-understanding-eap,sparse_event,agentic,3,1.0,1.0,1.0,1.0,71802.33333333333,75039.33333333333,2761.0,49.40755496666922,25.708545100002084,53.081324240846065,1.0743564274057926,110.21004430000175,52.709611166668765,0
models/gemini-3.6-flash-video-understanding-eap,sparse_event,static,3,1.0,1.0,1.0,1.0,19820.0,19963.666666666668,142.66666666666666,5.669718766667454,5.6733611000017845,0.5396925182401813,0.09518858702711311,6.207580900001631,8.802144300000995,0
models/gemini-3.6-flash-video-understanding-eap,temporal_localization,agentic,3,1.0,1.0,1.0,1.0,28033.666666666668,31894.0,3469.6666666666665,38.20189690000067,24.308107299999392,24.21344630063626,0.6338283767431412,66.1610010000004,41.126408633332176,0
models/gemini-3.6-flash-video-understanding-eap,temporal_localization,static,3,1.0,1.0,1.0,1.0,19819.0,20198.333333333332,376.6666666666667,6.377871166664893,6.385969100003422,1.2355273035629823,0.1937209566133432,7.609329599996272,9.20709453333499,0
models/gemini-3.7-flash-video-understanding-eap,fine_motion,agentic,3,1.0,1.0,1.0,0.0,8348.666666666666,9017.333333333334,529.6666666666666,12.134743899997071,11.018610200000694,1.9431082186947077,0.16012766603959205,14.378442299996095,14.867095766666656,0
models/gemini-3.7-flash-video-understanding-eap,fine_motion,static,3,1.0,0.0,0.0,0.0,1208.0,2651.0,1425.0,8.902286633332551,8.640058199998748,0.6054188657362043,0.06800711892036294,9.59461310000188,11.695120933332268,0
models/gemini-3.7-flash-video-understanding-eap,incomplete_action,agentic,3,1.0,1.0,1.0,1.0,5845.333333333333,6260.333333333333,285.0,9.797395899998568,8.456799899999169,3.32379402341195,0.33925280322829826,13.582129399997939,12.586211166664725,0
models/gemini-3.7-flash-video-understanding-eap,incomplete_action,static,3,1.0,1.0,1.0,1.0,11897.0,12304.666666666666,406.6666666666667,5.127753433330024,5.041872399997374,0.3097026683957743,0.060397340165135385,5.471333399997093,7.881381966665988,0
models/gemini-3.7-flash-video-understanding-eap,reversible_state,agentic,6,1.0,1.0,1.0,0.5,14074.5,15184.5,866.1666666666666,14.216497050000422,13.318897550001566,5.798693804527936,0.40788485265628527,21.422240100000636,17.02010901666775,0
models/gemini-3.7-flash-video-understanding-eap,reversible_state,static,6,1.0,1.0,1.0,0.5,11914.0,12629.833333333334,693.8333333333334,5.867460949998834,5.626103049999074,0.5238300063585619,0.08927711847126414,6.52517380000063,8.704361516665813,0
models/gemini-3.7-flash-video-understanding-eap,sparse_event,agentic,3,1.0,1.0,1.0,1.0,20100.333333333332,20660.333333333332,361.6666666666667,14.258371500000067,17.048368499999924,5.571494939774371,0.3907525442000403,17.883681100000103,16.935958999997336,0
models/gemini-3.7-flash-video-understanding-eap,sparse_event,static,3,1.0,1.0,1.0,1.0,19820.0,19904.0,83.0,5.521554433333222,5.343098600002122,0.9463685442754296,0.1713953119002634,6.54444639999565,8.209094533335398,0
models/gemini-3.7-flash-video-understanding-eap,temporal_localization,agentic,3,1.0,1.0,1.0,1.0,16007.666666666666,16613.666666666668,421.0,12.981665566667894,12.16741020000336,4.736004897233417,0.36482259328831596,18.072006199996395,15.751879900000253,0
models/gemini-3.7-flash-video-understanding-eap,temporal_localization,static,3,1.0,1.0,1.0,1.0,19819.0,20041.0,219.0,4.331876366666013,4.2692395999984,0.4957916841172071,0.11445194695129038,4.8560100000031525,7.289954466665222,0
