model,family,processing,n,completion_rate,semantic_accuracy,exact_accuracy,strict_accuracy,mean_input_tokens,mean_total_tokens,mean_thought_tokens,mean_provider_latency_seconds,median_provider_latency_seconds,stdev_provider_latency_seconds,provider_latency_cv,max_provider_latency_seconds,mean_wall_latency_seconds,errors
models/gemini-3.6-flash-video-understanding-eap,fine_motion,agentic,3,1.0,1.0,1.0,0.0,10982.666666666666,12221.333333333334,1079.6666666666667,14.999022000081217,14.295292100170627,3.018342173762083,0.2012359321658265,18.30706060002558,18.109142433386296,0
models/gemini-3.6-flash-video-understanding-eap,fine_motion,static,3,0.0,0.0,0.0,0.0,,,,180.1088051000455,180.11044860002585,0.007578701795147599,4.207846357615797e-05,180.11542719998397,180.1088051000455,3
models/gemini-3.6-flash-video-understanding-eap,incomplete_action,agentic,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,6459.0,7318.5,712.5,123.97622090003763,14.35398850007914,191.8205059929532,1.5472362732174147,345.4676632999908,128.7263240000078,1
models/gemini-3.6-flash-video-understanding-eap,incomplete_action,static,3,1.0,1.0,1.0,1.0,11897.0,12836.0,938.0,9.515904066773752,9.396851500030607,0.5581210573802633,0.05865139596447059,10.12394560012035,15.323883533322563,0
models/gemini-3.6-flash-video-understanding-eap,reversible_state,agentic,6,0.0,0.0,0.0,0.0,,,,180.1722214499799,180.16769799997564,0.06550632812234844,0.00036357618058527715,180.2498335998971,180.1722214499799,6
models/gemini-3.6-flash-video-understanding-eap,reversible_state,static,6,0.5,0.5,0.5,0.5,11909.0,13327.666666666666,1417.6666666666667,97.04310136668694,97.26885855,91.85261828369599,0.9465136314700187,182.1801654000301,99.04934536669559,3
models/gemini-3.6-flash-video-understanding-eap,sparse_event,agentic,3,0.0,0.0,0.0,0.0,,,,180.28532436668561,180.11109309992753,0.3068022175352106,0.001701759245312724,180.6395733000245,180.28532436668561,3
models/gemini-3.6-flash-video-understanding-eap,sparse_event,static,3,1.0,1.0,1.0,1.0,19820.0,19951.0,130.0,7.331820799969137,8.314005000051111,1.9094033567888706,0.26042689924948903,8.550204299855977,10.42735720006749,0
models/gemini-3.6-flash-video-understanding-eap,temporal_localization,agentic,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,5627.0,6378.0,590.0,123.92119603332442,180.10037130001,97.31414705138334,0.7852905730930324,180.11071859998628,124.97053279999334,2
models/gemini-3.6-flash-video-understanding-eap,temporal_localization,static,3,1.0,1.0,1.0,1.0,19819.0,20146.0,324.0,6.166046933348601,5.843335799872875,0.6609407603011992,0.10719035509226355,6.926348100183532,9.63803953335931,0
